Train: total=51501 -> class0=26021, class1=25480
Test:  total=17166 -> class0=8673, class1=8493
Train class0 ratio = 75.00%
Train class1 ratio = 75.00%
Enter the number of hidden layers: 2
Enter the number of neurons in hidden layer 1: 32
Enter the number of neurons in hidden layer 2: 16
Iter 1   J = 1.1015   Acc_train = 49.4748 %
Iter 2   J = 0.7357   Acc_train = 49.2825 %
Iter 3   J = 0.70269   Acc_train = 47.2651 %
Iter 4   J = 0.70187   Acc_train = 49.5816 %
Iter 5   J = 0.70142   Acc_train = 49.6262 %
Iter 6   J = 0.70098   Acc_train = 49.6709 %
Iter 7   J = 0.70056   Acc_train = 49.8185 %
Iter 8   J = 0.70015   Acc_train = 49.9233 %
Iter 9   J = 0.69976   Acc_train = 50.1039 %
Iter 10   J = 0.69939   Acc_train = 50.2728 %
Iter 11   J = 0.69902   Acc_train = 50.5019 %
Iter 12   J = 0.69867   Acc_train = 50.733 %
Iter 13   J = 0.69832   Acc_train = 50.9408 %
Iter 14   J = 0.69799   Acc_train = 51.2767 %
Iter 15   J = 0.69767   Acc_train = 51.5427 %
Iter 16   J = 0.69736   Acc_train = 51.7718 %
Iter 17   J = 0.69705   Acc_train = 52.0009 %
Iter 18   J = 0.69676   Acc_train = 52.2902 %
Iter 19   J = 0.69647   Acc_train = 52.5737 %
Iter 20   J = 0.69619   Acc_train = 52.8689 %
Iter 21   J = 0.69592   Acc_train = 53.1679 %
Iter 22   J = 0.69565   Acc_train = 53.4514 %
Iter 23   J = 0.69539   Acc_train = 53.7407 %
Iter 24   J = 0.69513   Acc_train = 53.9426 %
Iter 25   J = 0.69489   Acc_train = 54.1504 %
Iter 26   J = 0.69464   Acc_train = 54.3601 %
Iter 27   J = 0.6944   Acc_train = 54.564 %
Iter 28   J = 0.69417   Acc_train = 54.7174 %
Iter 29   J = 0.69394   Acc_train = 54.8455 %
Iter 30   J = 0.69372   Acc_train = 54.9756 %
Iter 31   J = 0.6935   Acc_train = 55.098 %
Iter 32   J = 0.69328   Acc_train = 55.2086 %
Iter 33   J = 0.69307   Acc_train = 55.3115 %
Iter 34   J = 0.69286   Acc_train = 55.4106 %
Iter 35   J = 0.69266   Acc_train = 55.4766 %
Iter 36   J = 0.69246   Acc_train = 55.5407 %
Iter 37   J = 0.69226   Acc_train = 55.6086 %
Iter 38   J = 0.69206   Acc_train = 55.6397 %
Iter 39   J = 0.69187   Acc_train = 55.6824 %
Iter 40   J = 0.69168   Acc_train = 55.7038 %
Iter 41   J = 0.69149   Acc_train = 55.7445 %
Iter 42   J = 0.6913   Acc_train = 55.7814 %
Iter 43   J = 0.69112   Acc_train = 55.7795 %
Iter 44   J = 0.69094   Acc_train = 55.8086 %
Iter 45   J = 0.69076   Acc_train = 55.8242 %
Iter 46   J = 0.69058   Acc_train = 55.8611 %
Iter 47   J = 0.6904   Acc_train = 55.8727 %
Iter 48   J = 0.69023   Acc_train = 55.8921 %
Iter 49   J = 0.69006   Acc_train = 55.9077 %
Iter 50   J = 0.68989   Acc_train = 55.9154 %
Iter 51   J = 0.68972   Acc_train = 55.9135 %
Iter 52   J = 0.68955   Acc_train = 55.929 %
Iter 53   J = 0.68938   Acc_train = 55.9232 %
Iter 54   J = 0.68921   Acc_train = 55.9368 %
Iter 55   J = 0.68905   Acc_train = 55.9426 %
Iter 56   J = 0.68888   Acc_train = 55.9717 %
Iter 57   J = 0.68872   Acc_train = 55.9834 %
Iter 58   J = 0.68856   Acc_train = 56.0067 %
Iter 59   J = 0.6884   Acc_train = 56.0242 %
Iter 60   J = 0.68824   Acc_train = 56.0416 %
Iter 61   J = 0.68807   Acc_train = 56.0513 %
Iter 62   J = 0.68792   Acc_train = 56.0727 %
Iter 63   J = 0.68776   Acc_train = 56.0843 %
Iter 64   J = 0.6876   Acc_train = 56.1038 %
Iter 65   J = 0.68744   Acc_train = 56.1426 %
Iter 66   J = 0.68728   Acc_train = 56.1659 %
Iter 67   J = 0.68712   Acc_train = 56.1775 %
Iter 68   J = 0.68697   Acc_train = 56.2688 %
Iter 69   J = 0.68681   Acc_train = 56.3368 %
Iter 70   J = 0.68665   Acc_train = 56.3989 %
Iter 71   J = 0.6865   Acc_train = 56.4552 %
Iter 72   J = 0.68634   Acc_train = 56.5504 %
Iter 73   J = 0.68618   Acc_train = 56.6843 %
Iter 74   J = 0.68603   Acc_train = 56.8183 %
Iter 75   J = 0.68587   Acc_train = 56.962 %
Iter 76   J = 0.68572   Acc_train = 57.0591 %
Iter 77   J = 0.68556   Acc_train = 57.1348 %
Iter 78   J = 0.6854   Acc_train = 57.195 %
Iter 79   J = 0.68525   Acc_train = 57.2901 %
Iter 80   J = 0.68509   Acc_train = 57.3581 %
Iter 81   J = 0.68493   Acc_train = 57.4377 %
Iter 82   J = 0.68478   Acc_train = 57.4882 %
Iter 83   J = 0.68462   Acc_train = 57.5232 %
Iter 84   J = 0.68447   Acc_train = 57.5309 %
Iter 85   J = 0.68431   Acc_train = 57.5445 %
Iter 86   J = 0.68415   Acc_train = 57.5445 %
Iter 87   J = 0.684   Acc_train = 57.5134 %
Iter 88   J = 0.68384   Acc_train = 57.5096 %
Iter 89   J = 0.68368   Acc_train = 57.5309 %
Iter 90   J = 0.68352   Acc_train = 57.562 %
Iter 91   J = 0.68337   Acc_train = 57.5717 %
Iter 92   J = 0.68321   Acc_train = 57.6261 %
Iter 93   J = 0.68305   Acc_train = 57.6824 %
Iter 94   J = 0.68289   Acc_train = 57.7018 %
Iter 95   J = 0.68273   Acc_train = 57.7232 %
Iter 96   J = 0.68257   Acc_train = 57.7717 %
Iter 97   J = 0.68242   Acc_train = 57.8164 %
Iter 98   J = 0.68226   Acc_train = 57.8358 %
Iter 99   J = 0.6821   Acc_train = 57.8474 %
Iter 100   J = 0.68194   Acc_train = 57.896 %
Iter 101   J = 0.68178   Acc_train = 57.8998 %
Iter 102   J = 0.68162   Acc_train = 57.9387 %
Iter 103   J = 0.68146   Acc_train = 57.9523 %
Iter 104   J = 0.6813   Acc_train = 57.9678 %
Iter 105   J = 0.68114   Acc_train = 57.9892 %
Iter 106   J = 0.68098   Acc_train = 57.9969 %
Iter 107   J = 0.68082   Acc_train = 58.028 %
Iter 108   J = 0.68066   Acc_train = 58.0319 %
Iter 109   J = 0.6805   Acc_train = 58.0455 %
Iter 110   J = 0.68034   Acc_train = 58.0785 %
Iter 111   J = 0.68018   Acc_train = 58.0901 %
Iter 112   J = 0.68002   Acc_train = 58.0863 %
Iter 113   J = 0.67985   Acc_train = 58.1037 %
Iter 114   J = 0.67969   Acc_train = 58.1406 %
Iter 115   J = 0.67953   Acc_train = 58.16 %
Iter 116   J = 0.67937   Acc_train = 58.1717 %
Iter 117   J = 0.67921   Acc_train = 58.1853 %
Iter 118   J = 0.67905   Acc_train = 58.2066 %
Iter 119   J = 0.67889   Acc_train = 58.2338 %
Iter 120   J = 0.67873   Acc_train = 58.2474 %
Iter 121   J = 0.67857   Acc_train = 58.2552 %
Iter 122   J = 0.67841   Acc_train = 58.2882 %
Iter 123   J = 0.67825   Acc_train = 58.2921 %
Iter 124   J = 0.67809   Acc_train = 58.3154 %
Iter 125   J = 0.67793   Acc_train = 58.3561 %
Iter 126   J = 0.67777   Acc_train = 58.3736 %
Iter 127   J = 0.67761   Acc_train = 58.3853 %
Iter 128   J = 0.67746   Acc_train = 58.4241 %
Iter 129   J = 0.6773   Acc_train = 58.428 %
Iter 130   J = 0.67714   Acc_train = 58.4474 %
Iter 131   J = 0.67698   Acc_train = 58.4571 %
Iter 132   J = 0.67682   Acc_train = 58.4921 %
Iter 133   J = 0.67667   Acc_train = 58.5095 %
Iter 134   J = 0.67651   Acc_train = 58.5309 %
Iter 135   J = 0.67635   Acc_train = 58.5426 %
Iter 136   J = 0.6762   Acc_train = 58.5794 %
Iter 137   J = 0.67604   Acc_train = 58.5892 %
Iter 138   J = 0.67588   Acc_train = 58.6222 %
Iter 139   J = 0.67573   Acc_train = 58.6455 %
Iter 140   J = 0.67557   Acc_train = 58.6707 %
Iter 141   J = 0.67542   Acc_train = 58.6979 %
Iter 142   J = 0.67526   Acc_train = 58.7328 %
Iter 143   J = 0.67511   Acc_train = 58.7561 %
Iter 144   J = 0.67496   Acc_train = 58.7717 %
Iter 145   J = 0.6748   Acc_train = 58.7891 %
Iter 146   J = 0.67465   Acc_train = 58.8125 %
Iter 147   J = 0.6745   Acc_train = 58.8202 %
Iter 148   J = 0.67435   Acc_train = 58.8552 %
Iter 149   J = 0.67419   Acc_train = 58.8746 %
Iter 150   J = 0.67404   Acc_train = 58.8979 %
Iter 151   J = 0.67389   Acc_train = 58.9154 %
Iter 152   J = 0.67374   Acc_train = 58.9464 %
Iter 153   J = 0.67359   Acc_train = 58.9561 %
Iter 154   J = 0.67344   Acc_train = 58.9736 %
Iter 155   J = 0.67329   Acc_train = 58.9872 %
Iter 156   J = 0.67314   Acc_train = 59.0027 %
Iter 157   J = 0.67299   Acc_train = 59.0338 %
Iter 158   J = 0.67285   Acc_train = 59.0396 %
Iter 159   J = 0.6727   Acc_train = 59.061 %
Iter 160   J = 0.67255   Acc_train = 59.0823 %
Iter 161   J = 0.6724   Acc_train = 59.0862 %
Iter 162   J = 0.67226   Acc_train = 59.0959 %
Iter 163   J = 0.67211   Acc_train = 59.1037 %
Iter 164   J = 0.67196   Acc_train = 59.127 %
Iter 165   J = 0.67182   Acc_train = 59.127 %
